Show TCP sender's some valuces about RTO:
pkt_seqno      pkt_type                 RorS_seqno     srtt           rto            
1              snd_con_syn              1              0              3000           
2              rcv_con_syn_ack          1              16             202            
3              snd_con_ack              2              0              3000           
4              snd_data                 3              0              3000           
5              snd_data                 4              0              3000           
6              rcv_ack                  2              16             202            
7              snd_data                 5              16             202            
8              snd_data                 6              16             202            
9              snd_data                 7              16             202            
10             rcv_ack                  3              16             202            
11             snd_data                 8              16             202            
12             snd_data                 9              16             202            
13             rcv_ack                  4              16             202            
14             snd_data                 10             16             202            
15             snd_data                 11             16             202            
16             rcv_ack                  5              16             202            
17             snd_data                 12             16             202            
18             snd_data                 13             16             202            
19             rcv_ack                  6              15             201            
20             snd_data                 14             15             201            
21             snd_data                 15             15             201            
22             rcv_ack                  7              111            213            
23             snd_data                 16             111            213            
24             snd_data                 17             111            213            
25             rcv_ack                  8              395            408            
26             snd_data                 18             395            408            
27             snd_data                 19             395            408            
28             rcv_ack                  9              847            827            
29             snd_data                 20             847            827            
30             snd_data                 21             847            827            
31             rcv_ack                  10             1339           1201           
32             snd_data                 22             1339           1201           
33             snd_data                 23             1339           1201           
34             rcv_ack                  11             1972           1655           
35             snd_data                 24             1972           1655           
36             snd_data                 25             1972           1655           
37             rcv_ack                  12             2624           2037           
38             snd_data                 26             2624           2037           
39             snd_data                 27             2624           2037           
40             rcv_ack                  13             3393           2475           
41             snd_data                 28             3393           2475           
42             snd_data                 29             3393           2475           
43             rcv_ack                  14             4166           2832           
44             snd_data                 30             4166           2832           
45             snd_data                 31             4166           2832           
46             rcv_ack                  15             4946           3132           
47             snd_data                 32             4946           3132           
48             snd_data                 33             4946           3132           
49             rcv_ack                  16             5732           3388           
50             snd_data                 34             5732           3388           
51             snd_data                 35             5732           3388           
52             rcv_ack                  17             6416           3490           
53             snd_data                 36             6416           3490           
54             snd_data                 37             6416           3490           
55             rcv_ack                  18             7114           3603           
56             snd_data                 38             7114           3603           
57             snd_data                 39             7114           3603           
58             rcv_ack                  19             7761           3684           
59             snd_data                 40             7761           3684           
60             snd_data                 41             7761           3684           
61             rcv_ack                  20             7761           3684           
62             snd_data                 42             7761           3684           
63             rcv_ack                  21             7761           3684           
64             snd_data                 43             7761           3684           
65             rcv_ack                  22             7761           3684           
66             rcv_ack                  23             7761           3684           
67             rcv_ack                  24             7761           3684           
68             snd_data                 44             7761           3684           
69             rcv_ack                  25             7761           3684           
70             rcv_ack                  26             7761           3684           
71             snd_data                 45             7761           3684           
72             rcv_ack                  27             7761           3684           
73             rcv_ack                  28             7761           3684           
74             snd_data                 46             7761           3684           
